symbol,main pnl,hedge pnl,total pnl,trade count
AAPL,-62.37218618659513,47.04730878406815,-15.32487740252698,2
ABBV,-34.30801366023428,22.39215918526679,-11.915854474967489,3
ABT,89.27704799606006,-66.41277126489663,22.86427673116343,4
ACN,8.188464605414666,-33.62537407525164,-25.436909469836976,4
ADBE,45.84895954571178,-65.67936423193373,-19.830404686221954,2
ADI,57.855223801926755,20.579758452513516,78.43498225444027,3
ADP,-51.8998259337331,3.05241908194495,-48.84740685178815,3
AMAT,-230.66378007443367,264.92422725481805,34.260447180384375,3
AMD,258.7625879635266,-85.37511758538908,173.3874703781375,2
AMGN,89.65426521119701,6.888488463130663,96.54275367432768,5
AMZN,97.01852080738972,-4.544600930484325,92.4739198769054,6
ANET,-20.828378097414223,50.17826455398968,29.349886456575454,4
AVGO,0.0,0.0,0.0,0
AXP,-54.27132890709417,58.39969094956713,4.128362042472958,6
BA,108.25856533766287,41.93373133007018,150.19229666773305,7
BAC,34.55683422805032,-24.11737879226652,10.439455435783799,3
BKNG,-65.81910021132198,77.781727112146,11.96262690082402,3
BLK,-229.10885241173926,163.41267241503996,-65.6961799966993,10
BMY,-8.080203501421357,-9.943646108829768,-18.023849610251126,1
BSX,146.74583799144125,-94.94395478052292,51.801883210918334,3
BX,-116.44306424969562,122.05619211965575,5.613127869960124,2
C,168.48203711550258,-100.4309604681329,68.05107664736968,4
CAT,9.336521637336894,-43.40226258927707,-34.06574095194018,3
CB,-78.13172549438652,26.864013997873442,-51.26771149651307,4
CMCSA,-7.205789950287533,-25.833176514623247,-33.03896646491078,2
COP,-97.41733882272318,119.6620720576145,22.244733234891314,3
COST,-15.977875134987045,14.610233237045612,-1.3676418979414322,5
CRM,13.865112689688267,-18.93567242005097,-5.070559730362703,2
CSCO,-12.780269058295879,17.427886358505006,4.647617300209127,1
CVX,82.07669392637251,-40.61383463125821,41.462859295114306,4
DE,97.66016839176261,-66.76677367358587,30.893394718176737,5
DHR,0.0,0.0,0.0,0
DIS,-111.2642538456743,-34.00475143466415,-145.26900528033846,5
ETN,68.93539879535659,6.820637174096241,75.75603596945282,5
FI,-33.13000769094599,-15.876399546057979,-49.00640723700397,3
GE,0.0,0.0,0.0,0
GILD,8.777251893721917,-41.65854622735654,-32.88129433363462,2
GOOG,38.952838575381904,-19.258010382875717,19.694828192506186,4
GOOGL,22.459232338616683,-4.256810459904939,18.202421878711746,3
GS,-51.19552177016851,-11.088562329764542,-62.284084099933054,4
HD,-58.66589135360134,44.74244697843866,-13.923444375162681,2
HON,-89.1765152893872,4.447089250826403,-84.72942603856079,3
IBM,-1.3706140350876472,-2.9788813533801872,-4.349495388467835,1
ICE,152.79819095674827,-107.31040214260912,45.48778881413915,2
INTC,56.470279606309575,-47.901165801576354,8.56911380473322,2
INTU,39.28978779708682,15.721582588770236,55.01137038585705,5
ISRG,-175.19782252061722,39.841924749340535,-135.3558977712767,2
JNJ,-5.623072972767762,-18.41423976944943,-24.037312742217193,4
JPM,102.7741842188562,-113.76382178417336,-10.989637565317153,9
KKR,-3.9310940661928555,99.58766940533413,95.65657533914127,4
KO,67.06055942477627,-37.6150527557019,29.44550666907437,4
LLY,10.134809567759138,9.600689356890577,19.735498924649715,4
LMT,-71.45911916826608,12.572616667842464,-58.88650250042362,4
LOW,67.43875758830664,-84.7873064504482,-17.348548862141556,2
LRCX,64.04937027266877,-48.408234944296126,15.641135328372641,3
MA,-93.5025143577195,54.065078172061156,-39.43743618565835,4
MCD,-36.17975959119346,2.3354753528815895,-33.84428423831187,2
MDT,56.05957055805278,-83.50201577968517,-27.442445221632383,3
META,-3.315053495671293,14.029352431951423,10.71429893628013,3
MMC,-57.16784765501204,35.04892341506627,-22.11892423994577,4
MRK,-33.804738967573414,6.885509463581662,-26.91922950399175,4
MS,77.70735575891018,-77.26432790283427,0.4430278560759149,2
MSFT,-117.40289716509244,98.720440610866,-18.682456554226434,4
MU,-35.43706910226208,76.15204700941474,40.714977907152665,3
NEE,-146.58321918765893,8.9708818838644,-137.61233730379453,3
NFLX,52.78843530134369,-41.84185304102377,10.946582260319921,4
NKE,53.84188074205109,4.339218249165636,58.18109899121673,2
NOW,-47.72032060506993,57.01352907477779,9.293208469707864,5
NVDA,-137.38088222903042,3.5105890691663575,-133.87029315986405,4
ORCL,-40.39449066281042,36.32839715066185,-4.066093512148569,2
PANW,121.78902727232466,-92.67089084953906,29.118136422785597,3
PEP,31.20404117910347,-38.75238880183011,-7.548347622726638,1
PFE,-1.6865488005935987,2.1662363040877253,0.4796875034941266,6
PG,112.72613129638528,-65.69040124360292,47.035730052782355,6
PGR,-41.90103929801758,-7.399075838201895,-49.300115136219475,4
PLD,70.76856658926489,-70.88148312180272,-0.11291653253782385,4
PM,-49.721930636984155,-69.53370866797268,-119.25563930495683,6
QCOM,173.61680696264227,-175.67721348493353,-2.0604065222912595,2
RTX,26.863739346207783,-52.64062092206888,-25.776881575861093,1
SBUX,62.07225859481935,54.16241325678603,116.23467185160538,4
SCHW,81.84723367304036,-155.125422878279,-73.27818920523865,3
SPGI,8.529687917268273,-38.20518381086549,-29.67549589359722,4
SYK,116.36423242450044,-92.77321869768471,23.59101372681573,2
T,-46.562851286626966,-2.583983527684068,-49.146834814311035,3
TJX,0.8199196144897982,40.60199808562693,41.42191770011673,8
TMO,10.212142620668718,33.43223931691629,43.64438193758501,2
TMUS,-96.66104216212568,-13.050968761211305,-109.71201092333699,6
TSLA,-180.01333400033047,37.257347879892826,-142.75598612043765,2
TXN,-146.11767983933842,166.80397054502055,20.686290705682126,3
UNH,15.159050669425245,-13.89990744993444,1.259143219490804,1
UNP,85.33913911565861,-81.0966295336087,4.242509582049905,6
V,92.43790612233161,-59.11104156349557,33.32686455883604,5
VRTX,-28.39365179380149,-8.807498645811823,-37.201150439613315,1
VZ,9.576250897773475,-15.187826773290801,-5.611575875517326,1
WFC,-60.06364359586303,-16.266482361248613,-76.33012595711165,1
WMT,12.610684857557118,25.099732098771426,37.710416956328544,2
XOM,29.275487102701,-13.640447402072326,15.635039700628674,2
